text,label,color
agriculture light_green,agriculture,light_green
agriculture orange,agriculture,orange
agriculture purple,agriculture,purple
agriculture pink,agriculture,pink
agriculture brown,agriculture,brown
agriculture gray,agriculture,gray
agriculture grey,agriculture,grey
agriculture violet,agriculture,violet
agriculture silver,agriculture,silver
agriculture gold,agriculture,gold
agriculture teal,agriculture,teal
agricultures cyan,agriculture,cyan
agricultures yellow,agriculture,yellow
agricultures magenta,agriculture,magenta
agricultures green,agriculture,green
agricultures blue,agriculture,blue
agricultures white,agriculture,white
agricultures,agriculture,None
agricultures red,agriculture,red
agricultures light_blue,agriculture,light_blue
agricultures light_green,agriculture,light_green
agricultures orange,agriculture,orange
agricultures purple,agriculture,purple
agricultures pink,agriculture,pink
agricultures brown,agriculture,brown
agricultures gray,agriculture,gray
agricultures grey,agriculture,grey
agricultures violet,agriculture,violet
agricultures silver,agriculture,silver
agricultures gold,agriculture,gold
agricultures teal,agriculture,teal
farm cyan,agriculture,cyan
farm yellow,agriculture,yellow
farm magenta,agriculture,magenta
farm green,agriculture,green
farm blue,agriculture,blue
farm white,agriculture,white
farm,agriculture,None
farm red,agriculture,red
farm light_blue,agriculture,light_blue
farm light_green,agriculture,light_green
farm orange,agriculture,orange
farm purple,agriculture,purple
farm pink,agriculture,pink
farm brown,agriculture,brown
farm gray,agriculture,gray
farm grey,agriculture,grey
farm violet,agriculture,violet
farm silver,agriculture,silver
farm gold,agriculture,gold
farm teal,agriculture,teal
agricultural areas cyan,agriculture,cyan
agricultural areas yellow,agriculture,yellow
agricultural areas magenta,agriculture,magenta
agricultural areas green,agriculture,green
agricultural areas blue,agriculture,blue
agricultural areas white,agriculture,white
agricultural areas,agriculture,None
agricultural areas red,agriculture,red
agricultural areas light_blue,agriculture,light_blue
agricultural areas light_green,agriculture,light_green
agricultural areas orange,agriculture,orange
agricultural areas purple,agriculture,purple
agricultural areas pink,agriculture,pink
agricultural areas brown,agriculture,brown
agricultural areas gray,agriculture,gray
agricultural areas grey,agriculture,grey
agricultural areas violet,agriculture,violet
agricultural areas silver,agriculture,silver
agricultural areas gold,agriculture,gold
agricultural areas teal,agriculture,teal
farmland cyan,agriculture,cyan
farmland yellow,agriculture,yellow
farmland magenta,agriculture,magenta
farmland green,agriculture,green
farmland blue,agriculture,blue
farmland white,agriculture,white
farmland,agriculture,None
farmland red,agriculture,red
farmland light_blue,agriculture,light_blue
farmland light_green,agriculture,light_green
farmland orange,agriculture,orange
farmland purple,agriculture,purple
farmland pink,agriculture,pink
farmland brown,agriculture,brown
farmland gray,agriculture,gray
farmland grey,agriculture,grey
farmland violet,agriculture,violet
farmland silver,agriculture,silver
farmland gold,agriculture,gold
farmland teal,agriculture,teal
farming areas cyan,agriculture,cyan
farming areas yellow,agriculture,yellow
farming areas magenta,agriculture,magenta
farming areas green,agriculture,green
farming areas blue,agriculture,blue
farming areas white,agriculture,white
farming areas,agriculture,None
farming areas red,agriculture,red
farming areas light_blue,agriculture,light_blue
farming areas light_green,agriculture,light_green
farming areas orange,agriculture,orange
farming areas purple,agriculture,purple
farming areas pink,agriculture,pink
farming areas brown,agriculture,brown
farming areas gray,agriculture,gray
farming areas grey,agriculture,grey
farming areas violet,agriculture,violet
farming areas silver,agriculture,silver
farming areas gold,agriculture,gold
farming areas teal,agriculture,teal
crops cyan,agriculture,cyan
crops yellow,agriculture,yellow
crops magenta,agriculture,magenta
crops green,agriculture,green
crops blue,agriculture,blue
crops white,agriculture,white
crops,agriculture,None
crops red,agriculture,red
crops light_blue,agriculture,light_blue
crops light_green,agriculture,light_green
crops orange,agriculture,orange
crops purple,agriculture,purple
crops pink,agriculture,pink
crops brown,agriculture,brown
crops gray,agriculture,gray
crops grey,agriculture,grey
crops violet,agriculture,violet
crops silver,agriculture,silver
crops gold,agriculture,gold
crops teal,agriculture,teal
rangeland cyan,rangeland,cyan
rangeland yellow,rangeland,yellow
rangeland magenta,rangeland,magenta
rangeland green,rangeland,green
rangeland blue,rangeland,blue
rangeland white,rangeland,white
rangeland,rangeland,None
rangeland red,rangeland,red
rangeland light_blue,rangeland,light_blue
rangeland light_green,rangeland,light_green
rangeland orange,rangeland,orange
rangeland purple,rangeland,purple
rangeland pink,rangeland,pink
rangeland brown,rangeland,brown
rangeland gray,rangeland,gray
rangeland grey,rangeland,grey
rangeland violet,rangeland,violet
rangeland silver,rangeland,silver
rangeland gold,rangeland,gold
rangeland teal,rangeland,teal
grassland cyan,rangeland,cyan
grassland yellow,rangeland,yellow
grassland magenta,rangeland,magenta
grassland green,rangeland,green
grassland blue,rangeland,blue
grassland white,rangeland,white
grassland,rangeland,None
grassland red,rangeland,red
grassland light_blue,rangeland,light_blue
grassland light_green,rangeland,light_green
grassland orange,rangeland,orange
grassland purple,rangeland,purple
grassland pink,rangeland,pink
grassland brown,rangeland,brown
grassland gray,rangeland,gray
grassland grey,rangeland,grey
grassland violet,rangeland,violet
grassland silver,rangeland,silver
grassland gold,rangeland,gold
grassland teal,rangeland,teal
pastures cyan,rangeland,cyan
pastures yellow,rangeland,yellow
pastures magenta,rangeland,magenta
pastures green,rangeland,green
pastures blue,rangeland,blue
pastures white,rangeland,white
pastures,rangeland,None
pastures red,rangeland,red
pastures light_blue,rangeland,light_blue
pastures light_green,rangeland,light_green
pastures orange,rangeland,orange
pastures purple,rangeland,purple
pastures pink,rangeland,pink
pastures brown,rangeland,brown
pastures gray,rangeland,gray
pastures grey,rangeland,grey
pastures violet,rangeland,violet
pastures silver,rangeland,silver
pastures gold,rangeland,gold
pastures teal,rangeland,teal
grazing areas cyan,rangeland,cyan
grazing areas yellow,rangeland,yellow
grazing areas magenta,rangeland,magenta
grazing areas green,rangeland,green
grazing areas blue,rangeland,blue
grazing areas white,rangeland,white
grazing areas,rangeland,None
grazing areas red,rangeland,red
grazing areas light_blue,rangeland,light_blue
grazing areas light_green,rangeland,light_green
grazing areas orange,rangeland,orange
grazing areas purple,rangeland,purple
grazing areas pink,rangeland,pink
grazing areas brown,rangeland,brown
grazing areas gray,rangeland,gray
grazing areas grey,rangeland,grey
grazing areas violet,rangeland,violet
grazing areas silver,rangeland,silver
grazing areas gold,rangeland,gold
grazing areas teal,rangeland,teal
meadows cyan,rangeland,cyan
meadows yellow,rangeland,yellow
meadows magenta,rangeland,magenta
meadows green,rangeland,green
meadows blue,rangeland,blue
meadows white,rangeland,white
meadows,rangeland,None
meadows red,rangeland,red
meadows light_blue,rangeland,light_blue
meadows light_green,rangeland,light_green
meadows orange,rangeland,orange
meadows purple,rangeland,purple
meadows pink,rangeland,pink
meadows brown,rangeland,brown
meadows gray,rangeland,gray
meadows grey,rangeland,grey
meadows violet,rangeland,violet
meadows silver,rangeland,silver
meadows gold,rangeland,gold
meadows teal,rangeland,teal
forest cyan,forest,cyan
forest yellow,forest,yellow
forest magenta,forest,magenta
forest green,forest,green
forest blue,forest,blue
forest white,forest,white
forest,forest,None
forest red,forest,red
forest light_blue,forest,light_blue
forest light_green,forest,light_green
forest orange,forest,orange
forest purple,forest,purple
forest pink,forest,pink
forest brown,forest,brown
forest gray,forest,gray
forest grey,forest,grey
forest violet,forest,violet
forest silver,forest,silver
forest gold,forest,gold
forest teal,forest,teal
forests cyan,forest,cyan
forests yellow,forest,yellow
forests magenta,forest,magenta
forests green,forest,green
forests blue,forest,blue
forests white,forest,white
forests,forest,None
forests red,forest,red
forests light_blue,forest,light_blue
forests light_green,forest,light_green
forests orange,forest,orange
forests purple,forest,purple
forests pink,forest,pink
forests brown,forest,brown
forests gray,forest,gray
forests grey,forest,grey
forests violet,forest,violet
forests silver,forest,silver
forests gold,forest,gold
forests teal,forest,teal
forested areas cyan,forest,cyan
forested areas yellow,forest,yellow
forested areas magenta,forest,magenta
forested areas green,forest,green
forested areas blue,forest,blue
forested areas white,forest,white
forested areas,forest,None
forested areas red,forest,red
forested areas light_blue,forest,light_blue
forested areas light_green,forest,light_green
forested areas orange,forest,orange
forested areas purple,forest,purple
forested areas pink,forest,pink
forested areas brown,forest,brown
forested areas gray,forest,gray
forested areas grey,forest,grey
forested areas violet,forest,violet
forested areas silver,forest,silver
forested areas gold,forest,gold
forested areas teal,forest,teal
woodland cyan,forest,cyan
woodland yellow,forest,yellow
woodland magenta,forest,magenta
woodland green,forest,green
woodland blue,forest,blue
woodland white,forest,white
woodland,forest,None
woodland red,forest,red
woodland light_blue,forest,light_blue
woodland light_green,forest,light_green
woodland orange,forest,orange
woodland purple,forest,purple
woodland pink,forest,pink
woodland brown,forest,brown
woodland gray,forest,gray
woodland grey,forest,grey
woodland violet,forest,violet
woodland silver,forest,silver
woodland gold,forest,gold
woodland teal,forest,teal
forest regions cyan,forest,cyan
forest regions yellow,forest,yellow
forest regions magenta,forest,magenta
forest regions green,forest,green
forest regions blue,forest,blue
forest regions white,forest,white
forest regions,forest,None
forest regions red,forest,red
forest regions light_blue,forest,light_blue
forest regions light_green,forest,light_green
forest regions orange,forest,orange
forest regions purple,forest,purple
forest regions pink,forest,pink
forest regions brown,forest,brown
forest regions gray,forest,gray
forest regions grey,forest,grey
forest regions violet,forest,violet
forest regions silver,forest,silver
forest regions gold,forest,gold
forest regions teal,forest,teal
water cyan,water,cyan
water yellow,water,yellow
water magenta,water,magenta
water green,water,green
water blue,water,blue
water white,water,white
water,water,None
water red,water,red
water light_blue,water,light_blue
water light_green,water,light_green
water orange,water,orange
water purple,water,purple
water pink,water,pink
water brown,water,brown
water gray,water,gray
water grey,water,grey
water violet,water,violet
water silver,water,silver
water gold,water,gold
water teal,water,teal
water bodies cyan,water,cyan
water bodies yellow,water,yellow
water bodies magenta,water,magenta
water bodies green,water,green
water bodies blue,water,blue
water bodies white,water,white
water bodies,water,None
water bodies red,water,red
water bodies light_blue,water,light_blue
water bodies light_green,water,light_green
water bodies orange,water,orange
water bodies purple,water,purple
water bodies pink,water,pink
water bodies brown,water,brown
water bodies gray,water,gray
water bodies grey,water,grey
water bodies violet,water,violet
water bodies silver,water,silver
water bodies gold,water,gold
water bodies teal,water,teal
lakes cyan,water,cyan
lakes yellow,water,yellow
lakes magenta,water,magenta
lakes green,water,green
lakes blue,water,blue
lakes white,water,white
lakes,water,None
lakes red,water,red
lakes light_blue,water,light_blue
lakes light_green,water,light_green
lakes orange,water,orange
lakes purple,water,purple
lakes pink,water,pink
lakes brown,water,brown
lakes gray,water,gray
lakes grey,water,grey
lakes violet,water,violet
lakes silver,water,silver
lakes gold,water,gold
lakes teal,water,teal
rivers cyan,water,cyan
rivers yellow,water,yellow
rivers magenta,water,magenta
rivers green,water,green
rivers blue,water,blue
rivers white,water,white
rivers,water,None
rivers red,water,red
rivers light_blue,water,light_blue
rivers light_green,water,light_green
rivers orange,water,orange
rivers purple,water,purple
rivers pink,water,pink
rivers brown,water,brown
rivers gray,water,gray
rivers grey,water,grey
rivers violet,water,violet
rivers silver,water,silver
rivers gold,water,gold
rivers teal,water,teal
water areas cyan,water,cyan
water areas yellow,water,yellow
water areas magenta,water,magenta
water areas green,water,green
water areas blue,water,blue
water areas white,water,white
water areas,water,None
water areas red,water,red
water areas light_blue,water,light_blue
water areas light_green,water,light_green
water areas orange,water,orange
water areas purple,water,purple
water areas pink,water,pink
water areas brown,water,brown
water areas gray,water,gray
water areas grey,water,grey
water areas violet,water,violet
water areas silver,water,silver
water areas gold,water,gold
water areas teal,water,teal
barren cyan,barren,cyan
barren yellow,barren,yellow
barren magenta,barren,magenta
barren green,barren,green
barren blue,barren,blue
barren white,barren,white
barren,barren,None
barren red,barren,red
barren light_blue,barren,light_blue
barren light_green,barren,light_green
barren orange,barren,orange
barren purple,barren,purple
barren pink,barren,pink
barren brown,barren,brown
barren gray,barren,gray
barren grey,barren,grey
barren violet,barren,violet
barren silver,barren,silver
barren gold,barren,gold
barren teal,barren,teal
desert cyan,barren,cyan
desert yellow,barren,yellow
desert magenta,barren,magenta
desert green,barren,green
desert blue,barren,blue
desert white,barren,white
desert,barren,None
desert red,barren,red
desert light_blue,barren,light_blue
desert light_green,barren,light_green
desert orange,barren,orange
desert purple,barren,purple
desert pink,barren,pink
desert brown,barren,brown
desert gray,barren,gray
desert grey,barren,grey
desert violet,barren,violet
desert silver,barren,silver
desert gold,barren,gold
desert teal,barren,teal
arid land cyan,barren,cyan
arid land yellow,barren,yellow
arid land magenta,barren,magenta
arid land green,barren,green
arid land blue,barren,blue
arid land white,barren,white
arid land,barren,None
arid land red,barren,red
arid land light_blue,barren,light_blue
arid land light_green,barren,light_green
arid land orange,barren,orange
arid land purple,barren,purple
arid land pink,barren,pink
arid land brown,barren,brown
arid land gray,barren,gray
arid land grey,barren,grey
arid land violet,barren,violet
arid land silver,barren,silver
arid land gold,barren,gold
arid land teal,barren,teal
barren areas cyan,barren,cyan
barren areas yellow,barren,yellow
barren areas magenta,barren,magenta
barren areas green,barren,green
barren areas blue,barren,blue
barren areas white,barren,white
barren areas,barren,None
barren areas red,barren,red
barren areas light_blue,barren,light_blue
barren areas light_green,barren,light_green
barren areas orange,barren,orange
barren areas purple,barren,purple
barren areas pink,barren,pink
barren areas brown,barren,brown
barren areas gray,barren,gray
barren areas grey,barren,grey
barren areas violet,barren,violet
barren areas silver,barren,silver
barren areas gold,barren,gold
barren areas teal,barren,teal
wasteland cyan,barren,cyan
wasteland yellow,barren,yellow
wasteland magenta,barren,magenta
wasteland green,barren,green
wasteland blue,barren,blue
wasteland white,barren,white
wasteland,barren,None
wasteland red,barren,red
wasteland light_blue,barren,light_blue
wasteland light_green,barren,light_green
wasteland orange,barren,orange
wasteland purple,barren,purple
wasteland pink,barren,pink
wasteland brown,barren,brown
wasteland gray,barren,gray
wasteland grey,barren,grey
wasteland violet,barren,violet
wasteland silver,barren,silver
wasteland gold,barren,gold
wasteland teal,barren,teal
urban in cyan,urban,cyan
urban in yellow,urban,yellow
urban in magenta,urban,magenta
urban in green,urban,green
urban in blue,urban,blue
urban in white,urban,white
urban,urban,None
urban in red,urban,red
urban in light_blue,urban,light_blue
urban in light_green,urban,light_green
urban in orange,urban,orange
urban in purple,urban,purple
urban in pink,urban,pink
urban in brown,urban,brown
urban in gray,urban,gray
urban in grey,urban,grey
urban in violet,urban,violet
urban in silver,urban,silver
urban in gold,urban,gold
urban in teal,urban,teal
urbans in cyan,urban,cyan
urbans in yellow,urban,yellow
urbans in magenta,urban,magenta
urbans in green,urban,green
urbans in blue,urban,blue
urbans in white,urban,white
urbans,urban,None
urbans in red,urban,red
urbans in light_blue,urban,light_blue
urbans in light_green,urban,light_green
urbans in orange,urban,orange
urbans in purple,urban,purple
urbans in pink,urban,pink
urbans in brown,urban,brown
urbans in gray,urban,gray
urbans in grey,urban,grey
urbans in violet,urban,violet
urbans in silver,urban,silver
urbans in gold,urban,gold
urbans in teal,urban,teal
urban areas in cyan,urban,cyan
urban areas in yellow,urban,yellow
urban areas in magenta,urban,magenta
urban areas in green,urban,green
urban areas in blue,urban,blue
urban areas in white,urban,white
urban areas,urban,None
urban areas in red,urban,red
urban areas in light_blue,urban,light_blue
urban areas in light_green,urban,light_green
urban areas in orange,urban,orange
urban areas in purple,urban,purple
urban areas in pink,urban,pink
urban areas in brown,urban,brown
urban areas in gray,urban,gray
urban areas in grey,urban,grey
urban areas in violet,urban,violet
urban areas in silver,urban,silver
urban areas in gold,urban,gold
urban areas in teal,urban,teal
cities in cyan,urban,cyan
cities in yellow,urban,yellow
cities in magenta,urban,magenta
cities in green,urban,green
cities in blue,urban,blue
cities in white,urban,white
cities,urban,None
cities in red,urban,red
cities in light_blue,urban,light_blue
cities in light_green,urban,light_green
cities in orange,urban,orange
cities in purple,urban,purple
cities in pink,urban,pink
cities in brown,urban,brown
cities in gray,urban,gray
cities in grey,urban,grey
cities in violet,urban,violet
cities in silver,urban,silver
cities in gold,urban,gold
cities in teal,urban,teal
city areas in cyan,urban,cyan
city areas in yellow,urban,yellow
city areas in magenta,urban,magenta
city areas in green,urban,green
city areas in blue,urban,blue
city areas in white,urban,white
city areas,urban,None
city areas in red,urban,red
city areas in light_blue,urban,light_blue
city areas in light_green,urban,light_green
city areas in orange,urban,orange
city areas in purple,urban,purple
city areas in pink,urban,pink
city areas in brown,urban,brown
city areas in gray,urban,gray
city areas in grey,urban,grey
city areas in violet,urban,violet
city areas in silver,urban,silver
city areas in gold,urban,gold
city areas in teal,urban,teal
urban regions in cyan,urban,cyan
urban regions in yellow,urban,yellow
urban regions in magenta,urban,magenta
urban regions in green,urban,green
urban regions in blue,urban,blue
urban regions in white,urban,white
urban regions,urban,None
urban regions in red,urban,red
urban regions in light_blue,urban,light_blue
urban regions in light_green,urban,light_green
urban regions in orange,urban,orange
urban regions in purple,urban,purple
urban regions in pink,urban,pink
urban regions in brown,urban,brown
urban regions in gray,urban,gray
urban regions in grey,urban,grey
urban regions in violet,urban,violet
urban regions in silver,urban,silver
urban regions in gold,urban,gold
urban regions in teal,urban,teal
agriculture in cyan,agriculture,cyan
agriculture in yellow,agriculture,yellow
agriculture in magenta,agriculture,magenta
agriculture in green,agriculture,green
agriculture in blue,agriculture,blue
agriculture in white,agriculture,white
agriculture,agriculture,None
agriculture in red,agriculture,red
agriculture in light_blue,agriculture,light_blue
agriculture in light_green,agriculture,light_green
agriculture in orange,agriculture,orange
agriculture in purple,agriculture,purple
agriculture in pink,agriculture,pink
agriculture in brown,agriculture,brown
agriculture in gray,agriculture,gray
agriculture in grey,agriculture,grey
agriculture in violet,agriculture,violet
agriculture in silver,agriculture,silver
agriculture in gold,agriculture,gold
agriculture in teal,agriculture,teal
agricultures in cyan,agriculture,cyan
agricultures in yellow,agriculture,yellow
agricultures in magenta,agriculture,magenta
agricultures in green,agriculture,green
agricultures in blue,agriculture,blue
agricultures in white,agriculture,white
agricultures,agriculture,None
agricultures in red,agriculture,red
agricultures in light_blue,agriculture,light_blue
agricultures in light_green,agriculture,light_green
agricultures in orange,agriculture,orange
agricultures in purple,agriculture,purple
agricultures in pink,agriculture,pink
agricultures in brown,agriculture,brown
agricultures in gray,agriculture,gray
agricultures in grey,agriculture,grey
agricultures in violet,agriculture,violet
agricultures in silver,agriculture,silver
agricultures in gold,agriculture,gold
agricultures in teal,agriculture,teal
farm in cyan,agriculture,cyan
farm in yellow,agriculture,yellow
farm in magenta,agriculture,magenta
farm in green,agriculture,green
farm in blue,agriculture,blue
farm in white,agriculture,white
farm,agriculture,None
farm in red,agriculture,red
farm in light_blue,agriculture,light_blue
farm in light_green,agriculture,light_green
farm in orange,agriculture,orange
farm in purple,agriculture,purple
farm in pink,agriculture,pink
farm in brown,agriculture,brown
farm in gray,agriculture,gray
farm in grey,agriculture,grey
farm in violet,agriculture,violet
farm in silver,agriculture,silver
farm in gold,agriculture,gold
farm in teal,agriculture,teal
agricultural areas in cyan,agriculture,cyan
agricultural areas in yellow,agriculture,yellow
agricultural areas in magenta,agriculture,magenta
agricultural areas in green,agriculture,green
agricultural areas in blue,agriculture,blue
agricultural areas in white,agriculture,white
agricultural areas,agriculture,None
agricultural areas in red,agriculture,red
agricultural areas in light_blue,agriculture,light_blue
agricultural areas in light_green,agriculture,light_green
agricultural areas in orange,agriculture,orange
agricultural areas in purple,agriculture,purple
agricultural areas in pink,agriculture,pink
agricultural areas in brown,agriculture,brown
agricultural areas in gray,agriculture,gray
agricultural areas in grey,agriculture,grey
agricultural areas in violet,agriculture,violet
agricultural areas in silver,agriculture,silver
agricultural areas in gold,agriculture,gold
agricultural areas in teal,agriculture,teal
farmland in cyan,agriculture,cyan
farmland in yellow,agriculture,yellow
farmland in magenta,agriculture,magenta
farmland in green,agriculture,green
farmland in blue,agriculture,blue
farmland in white,agriculture,white
farmland,agriculture,None
farmland in red,agriculture,red
farmland in light_blue,agriculture,light_blue
farmland in light_green,agriculture,light_green
farmland in orange,agriculture,orange
farmland in purple,agriculture,purple
farmland in pink,agriculture,pink
farmland in brown,agriculture,brown
farmland in gray,agriculture,gray
farmland in grey,agriculture,grey
farmland in violet,agriculture,violet
farmland in silver,agriculture,silver
farmland in gold,agriculture,gold
farmland in teal,agriculture,teal
farming areas in cyan,agriculture,cyan
farming areas in yellow,agriculture,yellow
farming areas in magenta,agriculture,magenta
farming areas in green,agriculture,green
farming areas in blue,agriculture,blue
farming areas in white,agriculture,white
farming areas,agriculture,None
farming areas in red,agriculture,red
farming areas in light_blue,agriculture,light_blue
farming areas in light_green,agriculture,light_green
farming areas in orange,agriculture,orange
farming areas in purple,agriculture,purple
farming areas in pink,agriculture,pink
farming areas in brown,agriculture,brown
farming areas in gray,agriculture,gray
farming areas in grey,agriculture,grey
farming areas in violet,agriculture,violet
farming areas in silver,agriculture,silver
farming areas in gold,agriculture,gold
farming areas in teal,agriculture,teal
crops in cyan,agriculture,cyan
crops in yellow,agriculture,yellow
crops in magenta,agriculture,magenta
crops in green,agriculture,green
crops in blue,agriculture,blue
crops in white,agriculture,white
crops,agriculture,None
crops in red,agriculture,red
crops in light_blue,agriculture,light_blue
crops in light_green,agriculture,light_green
crops in orange,agriculture,orange
crops in purple,agriculture,purple
crops in pink,agriculture,pink
crops in brown,agriculture,brown
crops in gray,agriculture,gray
crops in grey,agriculture,grey
crops in violet,agriculture,violet
crops in silver,agriculture,silver
crops in gold,agriculture,gold
crops in teal,agriculture,teal
rangeland in cyan,rangeland,cyan
rangeland in yellow,rangeland,yellow
rangeland in magenta,rangeland,magenta
rangeland in green,rangeland,green
rangeland in blue,rangeland,blue
rangeland in white,rangeland,white
rangeland,rangeland,None
rangeland in red,rangeland,red
rangeland in light_blue,rangeland,light_blue
rangeland in light_green,rangeland,light_green
rangeland in orange,rangeland,orange
rangeland in purple,rangeland,purple
rangeland in pink,rangeland,pink
rangeland in brown,rangeland,brown
rangeland in gray,rangeland,gray
rangeland in grey,rangeland,grey
rangeland in violet,rangeland,violet
rangeland in silver,rangeland,silver
rangeland in gold,rangeland,gold
rangeland in teal,rangeland,teal
grassland in cyan,rangeland,cyan
grassland in yellow,rangeland,yellow
grassland in magenta,rangeland,magenta
grassland in green,rangeland,green
grassland in blue,rangeland,blue
grassland in white,rangeland,white
grassland,rangeland,None
grassland in red,rangeland,red
grassland in light_blue,rangeland,light_blue
grassland in light_green,rangeland,light_green
grassland in orange,rangeland,orange
grassland in purple,rangeland,purple
grassland in pink,rangeland,pink
grassland in brown,rangeland,brown
grassland in gray,rangeland,gray
grassland in grey,rangeland,grey
grassland in violet,rangeland,violet
grassland in silver,rangeland,silver
grassland in gold,rangeland,gold
grassland in teal,rangeland,teal
pastures in cyan,rangeland,cyan
pastures in yellow,rangeland,yellow
pastures in magenta,rangeland,magenta
pastures in green,rangeland,green
pastures in blue,rangeland,blue
pastures in white,rangeland,white
pastures,rangeland,None
pastures in red,rangeland,red
pastures in light_blue,rangeland,light_blue
pastures in light_green,rangeland,light_green
pastures in orange,rangeland,orange
pastures in purple,rangeland,purple
pastures in pink,rangeland,pink
pastures in brown,rangeland,brown
pastures in gray,rangeland,gray
pastures in grey,rangeland,grey
pastures in violet,rangeland,violet
pastures in silver,rangeland,silver
pastures in gold,rangeland,gold
pastures in teal,rangeland,teal
grazing areas in cyan,rangeland,cyan
grazing areas in yellow,rangeland,yellow
grazing areas in magenta,rangeland,magenta
grazing areas in green,rangeland,green
grazing areas in blue,rangeland,blue
grazing areas in white,rangeland,white
grazing areas,rangeland,None
grazing areas in red,rangeland,red
grazing areas in light_blue,rangeland,light_blue
grazing areas in light_green,rangeland,light_green
grazing areas in orange,rangeland,orange
grazing areas in purple,rangeland,purple
grazing areas in pink,rangeland,pink
grazing areas in brown,rangeland,brown
grazing areas in gray,rangeland,gray
grazing areas in grey,rangeland,grey
grazing areas in violet,rangeland,violet
grazing areas in silver,rangeland,silver
grazing areas in gold,rangeland,gold
grazing areas in teal,rangeland,teal
meadows in cyan,rangeland,cyan
meadows in yellow,rangeland,yellow
meadows in magenta,rangeland,magenta
meadows in green,rangeland,green
meadows in blue,rangeland,blue
meadows in white,rangeland,white
meadows,rangeland,None
meadows in red,rangeland,red
meadows in light_blue,rangeland,light_blue
meadows in light_green,rangeland,light_green
meadows in orange,rangeland,orange
meadows in purple,rangeland,purple
meadows in pink,rangeland,pink
meadows in brown,rangeland,brown
meadows in gray,rangeland,gray
meadows in grey,rangeland,grey
meadows in violet,rangeland,violet
meadows in silver,rangeland,silver
meadows in gold,rangeland,gold
meadows in teal,rangeland,teal
forest in cyan,forest,cyan
forest in yellow,forest,yellow
forest in magenta,forest,magenta
forest in green,forest,green
forest in blue,forest,blue
forest in white,forest,white
forest,forest,None
forest in red,forest,red
forest in light_blue,forest,light_blue
forest in light_green,forest,light_green
