text,label,color
Set the miscellaneous sections to green......,unknown,green
Make sure all unknown areas are green...,unknown,green
Can yOu kind of shOW the aqUatic REgionS Using whitE!,water,white
Change  the color of rangeland areas to magenta......,rangeland,magenta
Could you show well the meadow areas with actually green!!!,rangeland,green
Change  the color of arid land areas to magenta?,barren,magenta
MakE sure all Water bodies arEas ARe cyAn!,water,cyan
COuld you hIGhliGHt  the cultIvaTed land areAS WitH bLACk!!,agriculture,black
Apply yellow to the water bodies regions?,water,yellow
Please highlight the cultivated land areas with cyan?,agriculture,cyan
Can yoU mark the agriculture regionS uSIng whiTe??,agriculture,white
Set the metropolitan sections to magenta! um,urban,magenta
Make SUre All city areaS are greeN!,urban,green
Set thE uNspeCiFieD seCtIONs TO Cyan...,unknown,cyan
SEt thE RAnGeLaND sECtIOns To blue!!,rangeland,blue
Use cyan to mark water bodies areas..,water,cyan
Set the lakes sections to yellow!,water,yellow
Please highlight the unclassified areas with magenta?,unknown,magenta
Make sure all unproductive land areas are white?,barren,white
I need the wasteland parts  to be green...,barren,green
Apply white to the cropland regions!,agriculture,white
I need the arid land parts like to be magenta?,barren,magenta
Could you differentiate  the desert areas with yellow..,barren,yellow
Please mark the residential areas with green.........,urban,green
The aquatic regions  should be black.........,water,black
Set the grove sections to green?,forest,green
APply green To thE arid Land regions!,barren,green
Can you color the lakes regions using reggions,water,blue
Use yellow to color meadow um areas..,rangeland,yellow
I need the metropolitan parts  to be blue..,urban,blue
Change  the color bllue? metropolitan areas to blue?,urban,blue
Please differentiate the city areas with yellow...,urban,yellow
Apply blue to the cultivated land regions!,agriculture,blue
Make sure all unproductive land areas are cyan.........,barren,cyan
Change like the color of grassland areas to white.,rangeland,white
laand you differentiate  the grazing land areas with blue!,rangeland,blue
Makke sure all residential areas are magenta!,urban,magenta
Can you identify the farms regions using magenta??,agriculture,magenta
Make sure all desert areas um are black!,barren,black
Please highlight the unspecified areas with blue???,unknown,blue
Set the desert you know sections to black.,barren,black
Make sure all woods areas are cyan...,forest,cyan
Use black to paint arid land lannd,barren,black
I need the unproductive land parts  to be white...,barren,white
Could you fill  the barren areas with green.........,barren,green
Apply green to the unknown regions?,unknown,green
Change actually the color of other areas to green?,unknown,green
I need the water bodies parts like to be magenta......,water,magenta
PleasE SHADe thE AquAtic aREas wIth Green......,water,green
I need the metropolitan parts  to be green?,urban,green
Please paint the other areas with well yellow!,unknown,yellow
Please color the arid land areas with cyan...,barren,cyan
Please Pleasse the city areas with magenta...,urban,magenta
Change well the color of other areas to blue?,unknown,blue
The jungle regions kind of should be magenta?? like,forest,magenta
The pasture regions actually should be blue!,rangeland,blue
CoUld yOu HighlIgHt  the FOreSt arEas With whiTE!,forest,white
Make well sure all metropolitan areas are cyan?,urban,cyan
USE mageNTa To Differentiate RANgeland areaS!,rangeland,magenta
Please identify the rangeland areas with black?,rangeland,black
Could you show you know the unspecified areas with magenta!!!,unknown,magenta
Set the unproductive land sections to white!,barren,white
Set the aquatic sections to black?,water,black
I like nEEd THe AgrIcuLtuRE PartS to be WHitE!,agriculture,white
AppLy blue to the graSsland rEgiOnS?,rangeland,blue
I NeeD ThE um Urban paRTS to be CYan..,urban,cyan
THe unProDuctive lAnD regions well SHouLd be yelLoW.........,barren,yellow
Change  the color of barren areas to blue!,barren,blue
Use CyaN to fiLl buiLt-up ArEaS!,urban,cyan
I need the residential parts  to be black!,urban,black
Use green tO shoW otheR ArEas?,unknown,green
The agricuLTuRe regionS WEll shOuLd BE mAGenTa???,agriculture,magenta
Use blue to differentiate water bodies areas?,water,blue
The rangeland regions actually should be yellow!,rangeland,yellow
ApPLy grEen to the aquatiC regIons?,water,green
Make sure all grove areas are black...,forest,black
The built-up regions so should be cyan!,urban,cyan
Make sure all unclassified areas are yellow?,unknown,yellow
The pasture regions you know should be green?,rangeland,green
Make sure well all farms areas are cyan...,agriculture,cyan
The unclassified regions like should be cyan!,unknown,cyan
I need the rivers parts  to be white!,water,white
Please highlight the you know urban areas with black...,urban,black
Use blue to highlight areeas? areas?,forest,blue
Can yelllow! identify the urban regions using yellow!,urban,yellow
Can you display THe lakES reGionS using black.,water,black
The lakes regions  should be yellow!,water,yellow
I need the unspecified parts um to be magenta!!,unknown,magenta
Use cyan to mark rangeland areas!,rangeland,cyan
Can you mark the arid land regions using blue!,barren,blue
Change you knOw the COloR oF bUiLt-uP areAs To Cyan?,urban,cyan
Change actually the color of farmland kind of areas to white?,agriculture,white
Change actually the color of jungle areas to magenta!!!,forest,magenta
Use blaCk to paInT water AREAs??,water,black
Apply magenta to the forest regions!!!,forest,magenta
Change kind of the color of pasture areas to cyan......,rangeland,cyan
Make sure all timberland areas are yellow??,forest,yellow
Can you identify the wasteland regions using magenta.........,barren,magenta
Apply yellow to the forest regions...,forest,yellow
The city regions  should be black......,urban,black
Apply black to the lakes regions!,water,black
Change you know the color of farmland areas to blue?,agriculture,blue
Set the meadow sections to yellow?,rangeland,yellow
Apply green to the timberland regions! kind of,forest,green
Make sure all well built-up areas are yellow..,urban,yellow
Please differentiate the meadow areas with blue..,rangeland,blue
CAN You DiffErenTIAte tHe so aQUatIc reGIoNs USinG yellOw......,water,yellow
Apply green to the farms regions?,agriculture,green
so Can you show the forest regions using blue?,forest,blue
Apply white to the lakes regions!!!,water,white
Set the urban sections to blue?,urban,blue
Can you differentiate the grazing land like regions using cyan!,rangeland,cyan
Set the agriculture sections to cyan......,agriculture,cyan
Can you identify the rangeland regions using black!!!,rangeland,black
Could you identify well the water areas with cyan???,water,cyan
Please highlight the residential areas with cyan.,urban,cyan
Change um the color of water areaas areas to blue!!,water,blue
Could you identify  the residential areas with yellow!,urban,yellow
Use green to color water areas!,water,green
Apply well yellow to the residential regions......,urban,yellow
Apply um cyan regions....... the built-up regions......,urban,cyan
Change  the color of woods areas to yellow?,forest,yellow
Make like sure all meadow areas are black!,rangeland,black
Please show the residential like areas with blue!,urban,blue
Can you fill the unknoown regions using blue......,unknown,blue
um Change the color of barren areas to cyan!,barren,cyan
Apply kind of yellow to the cropland regions......,agriculture,yellow
Make sure all unclassified areas are cyan!,unknown,cyan
ChAnGE the coloR of like cIty aReAs to mAgenTa!,urban,magenta
Change so the color of residential areas to white.,urban,white
I need the rangeland parts  to be white!,rangeland,white
Could you dIspLay uM tHE unkNown arEaS WIth blaCK.,unknown,black
Make sure all wasteland areas are blue.........,barren,blue
like Please color the grassland areas with white!,rangeland,white
The cropland shouuld like should be white!,agriculture,white
Change  the color of agriculture areas to magenta!,agriculture,magenta
Please shade the miscellaneous areas with white..,unknown,white
Could you shade you know the forest areas with magenta...,forest,magenta
Can you differentiate the city regions using blue.,urban,blue
The desert regions  should be black?,barren,black
Apply blue to the lakes regions...,water,blue
Set the FarMs sECtIons to greeN?,agriculture,green
Use black to display unspecified areas!!!,unknown,black
Change the color of forest areas to actually green...,forest,green
Set the barren sections to yellow.. um,barren,yellow
like Could you paint the unspecified areas with yellow?,unknown,yellow
ChAngE WEll THe color OF unspecifieD AreAs to blAck......,unknown,black
Make suRe alL croPland arEaS um aRE gREen..,agriculture,green
Change you know the color of aquatic areas to magenta!,water,magenta
Please differentiate the arid land areas with magenta?,barren,magenta
Set actually the unclassified sections to magenta.,unknown,magenta
Make sure all unspecified areas are black!!! actually,unknown,black
Make um suRe AlL Other areas are whIte!,unknown,white
CHangE yOu KnOw The coLOR oF GroVe aReas to Cyan...,forest,cyan
Apply cyan to the grazing land regions!,rangeland,cyan
Can you show the so farms regions using yellow.,agriculture,yellow
PlEaSE COLOr tHE aquatIc AREas with like whiTe?,water,white
Make sure all urban areas are um black......,urban,black
Can you mark the city regions using magenta?,urban,magenta
Could you show kind of the built-up areas with black?,urban,black
Could you show you know the timberland areas with green??,forest,green
The bArrEn rEGiOns acTually shouLD bE cYan?,barren,cyan
Make sure all residential areas are white!!,urban,white
Can you identify the water bodies regions using magenta.........,water,magenta
I need the unspecified parts um to be cyan......,unknown,cyan
PleAsE idenTIfY the GRAsSLaND areas WITH gReen!,rangeland,green
Use yellow to fill areeas? areas?,agriculture,yellow
Make sure all unknown areas are like blue?,unknown,blue
THe farms regIons  shouLD be yElLow???,agriculture,yellow
I need the metropolitan parts  to be yellow!,urban,yellow
Can you fill the water kind of bodies regions using green!,water,green
Make sure all water bodies areas are green!,water,green
Change  the color of barren areas to black!!!,barren,black
Use cyan to fill forest actually acctually,forest,cyan
Change  the color of rangeland areas to green!,rangeland,green
PleAse mark the gRasSland AreAS wiTH CyaN??? kind of,rangeland,cyan
CoUld YOu SHOw so THe city areas wIth mAgenTa...,urban,magenta
Apply cyan to the cropland regions......,agriculture,cyan
Apply magenta to the rivers regions!,water,magenta
Set the like forest sections to magenta???,forest,magenta
Change  the color of other areas to white......,unknown,white
The miscellaneous regions  should be blue!,unknown,blue
Can you highlight the urban you know regions using white?,urban,white
Could you paint well the cultivated land areas with magenta!,agriculture,magenta
Set the lakes sections to cyan!,water,cyan
Could you paint the so woods areas with cyan?,forest,cyan
Use magenta to shade lakes areas..,water,magenta
Use blue to identify urban areas!,urban,blue
Set the farmland sections um to black...,agriculture,black
The you know unspecified regions should be yellow???,unknown,yellow
Apply weell to well the arid land regions?,barren,blue
The aquatic regions  should be magenta!,water,magenta
Change actually the color of timberland areas to black......,forest,black
Use green like to differentiate urban areas?,urban,green
Can you highlight the desert regions using you know green??,barren,green
Can you fill the unproductive land regions using yellow!!!,barren,yellow
Set the unspecified sections to black? you know,unknown,black
I nEed the dEsert partS UM tO Be Black.,barren,black
ChaNge lIkE ChaNgge colOr OF UnkNown aReaS to cyAN?,unknown,cyan
waater sure all water areas are white..,water,white
Apply black to the grazing land regions..,rangeland,black
Change  the color of woods areas to white.........,forest,white
Can you IDeNtify thE Built-UP RegIOnS USIng grEen...,urban,green
you know The grove regions should be cyan!,forest,cyan
Use magenta to show agriculture areas???,agriculture,magenta
Change the color of actually city areas to green!!,urban,green
Use blue to display arid land areas?,barren,blue
Change kind of the color of lakes areas to black!,water,black
Make sure all grove areas are white.,forest,white
The built-up regions well should be white?,urban,white
Make sure all cropland areas are blue..,agriculture,blue
I need the unclassified parts  to be green!,unknown,green
I need the built-up parts  to be magenta..,urban,magenta
Apply black to the unproductive land regions?,barren,black
Apply magenta to the cultivated land regions???,agriculture,magenta
CoULd yoU fill  tHE deseRt areAs WIth whiTe..,barren,white
Can you fill the cultivated land regions using blue......,agriculture,blue
Could you display um the water you know areas with magenta?,water,magenta
Apply like white to the meadow regions......,rangeland,white
I need the neeed parts  to be black......,unknown,black
Apply black to the agriculture kind of regions?,agriculture,black
Change kind of the color of agriculture areas to cyan??,agriculture,cyan
I need the metropolitan parts  to be white???,urban,white
Can you color the wasteland regions using cyan??,barren,cyan
Please show the water bodies areas with blue!,water,blue
Apply cyan to the grove regions?? so,forest,cyan
woodds sure all woods areas are blue!,forest,blue
The barren regions  should be magenta..,barren,magenta
Use yellow to fill aquatic areas...,water,yellow
Please Show tHe wAter bodIes areas witH MagenTA......,water,magenta
UsE cyan to FILL aGrICuLTUre areaS?,agriculture,cyan
I need the desert parts  to be blue..,barren,blue
Set the desert sections to blue?,barren,blue
Use cyan to mark barren areas?,barren,cyan
Apply black to the unknown regions?,unknown,black
I need the farms parts you know to be black?,agriculture,black
Make sure all unknown areas are magenta??,unknown,magenta
Set the grove sections to cyan!!!,forest,cyan
Laand cultivAted Land rEgioNs  shOuLd be gReen?,agriculture,green
Can you mark the rivers regions using cyan.,water,cyan
Use yellow you know to display barren areas?,barren,yellow
Make sure all woods areas are green?,forest,green
Use white to display farms areas!,agriculture,white
Apply magenta to the meadow regions!,rangeland,magenta
I need the grazing land parts kind of to be cyan?,rangeland,cyan
Can well you color the barren regions using black...,barren,black
Apply white to the residential regions!,urban,white
Set the Cropland seCtIons to white......,agriculture,white
Apply green to the city regions! like,urban,green
Set the cultivated land sections to cultivaated,agriculture,blue
Apply white to the woods regions!,forest,white
The built-up regions  should be green?,urban,green
CoulD you like fiLl The grasslaNd areAs with whiTe?,rangeland,white
Apply blue to the residential regions....,urban,blue
Apply black to the built-up regions...,urban,black
Make sure all grassland areas are white...,rangeland,white
PlEase FilL the uNPRODuctivE lAnd arEaS With yelloW?,barren,yellow
Use black to identify meadow areas..,rangeland,black
Set the cultivated land sections to magenta?,agriculture,magenta
Please identify the woods areas with cyan?,forest,cyan
Use white to shade desert areas......,barren,white
I need the rivers parts you know to be green!,water,green
Set bluue! forest sections to blue!,forest,blue
CHangE ActuallY thE coLOr of FarmlanD areaS tO grEEn.........,agriculture,green
Could you show  the farmland areas with cyan...,agriculture,cyan
Set like the city sections to white?,urban,white
UsE yeLLow tO paInT fORest so aReaS..,forest,yellow
Could you shade the desert areas with cyan! actually,barren,cyan
PLeaSe so coloR ThE CroplaND aReAs with mageNta......,agriculture,magenta
Use green to shade farms areas!!!,agriculture,green
Make sure all unproductive land areas are yellow?,barren,yellow
The actually grassland regions should be cyan?,rangeland,cyan
PleASE maRk The foresT aReAs witH bLUE??,forest,blue
Apply magenta to the miscellaneous regions?,unknown,magenta
Could you color  the farms areas with white!,agriculture,white
The timberland regions you know should be yellow!!!,forest,yellow
PleasE sHade the desert areAs wItH GreEN!,barren,green
Could you paint like the unclassified areas with cyan...,unknown,cyan
well Can you mark the grove regions using yellow..,forest,yellow
Apply Applly to the unspecified regions?,unknown,cyan
Set the barren sections to cyan!!,barren,cyan
The unknown regions you know should be green?,unknown,green
I neED the farmland ParTs yOu knoW To Be grEen?,agriculture,green
Make sure all grassland areas are blue!,rangeland,blue
Change  the color of grazing land areas to yellow??,rangeland,yellow
Set the rIvErs sections to whIte.........,water,white
bluue! iDentIFy THE wasTeLAnd areAs witH blue!,barren,blue
Please highlight the miscellaneous areas with black??,unknown,black
Use magenta to color unknown areas? like,unknown,magenta
Please highlight the timberland timberlaand with magenta!!!,forest,magenta
Can you identify the pasture regions using white..,rangeland,white
Change you know the color of barren areas to white!!,barren,white
Use white to highlight residential areas..,urban,white
The rivers regions  should be blue?,water,blue
Set kind of the MeTROpOlItan sections to cyaN.,urban,cyan
Change like um the color of farms areas to black?,agriculture,black
The timberLaNd regions LiKe shOuLd be bLue!,forest,blue
I need the grazing land parts um to be yellow!,rangeland,yellow
The cropland rEgioNS UM shOulD be black!!,agriculture,black
well Could yoU cOlor kIND of tHe misCellanEOus arEAS wIth green!,unknown,green
Can you differentiate the timberland regions using black!,forest,black
PLEaSe ColOr THe FaRMLaNd arEas WITh wHiTe!!,agriculture,white
Please kiind the tiMberlAnD kind of aReaS with white!,forest,white
I need the barren parts  to be yellow?,barren,yellow
Please mark the farmland areas with green??,agriculture,green
Could you paint the urban so areas with blue.,urban,blue
Make sure all grassland areas kind of are yellow!,rangeland,yellow
Set the farmland sections to yellow......,agriculture,yellow
Change actually the color of unknown areas to kind of magenta?,unknown,magenta
The unproductive land regions well should be green.. kind of,barren,green
Could you fill the lakes you know areas with black?,water,black
Make sUrE All AQuatIC aReAs Are yelloW.........,water,yellow
Please identify the unproductive land areas with black......,barren,black
Please show kind of the rivers areas with black......,water,black
UsE bLACk to coloR um cIty areas......,urban,black
Set the desert sections to magenta?,barren,magenta
Use yellow to paint residential areas!,urban,yellow
AppLy Blue to thE miSCelLANeOuS ReGioNs?,unknown,blue
Set the grassland sections you know to green!,rangeland,green
I NeEd um tHe mISCELLaneOuS pArts sO to BE White!,unknown,white
Could you display  the unproductive land areas with black?,barren,black
Use white to mark aquatic areas??,water,white
Set the meadow sections to white... you know,rangeland,white
I need the grove so parts actually to be black?,forest,black
The grassland regions  should be white!,rangeland,white
Can you identify the metropolitan regions using cyan!,urban,cyan
Use actually yellow to mark unspecified areas......,unknown,yellow
I need the woods parts so to be green!,forest,green
I need the lakes parts you know to be blue......,water,blue
I need the woods parts  to be yellow!,forest,yellow
Change  the color of residential areas to black?,urban,black
Set the other sections to blue?,unknown,blue
MakE sUre alL croPLAnd areas arE whitE...,agriculture,white
Please mark the farms areas with blue! so,agriculture,blue
The AriD lanD ReGIoNS sO shoulD be bluE!,barren,blue
Please display the arid land areas with white??,barren,white
Can you highlight the unknown regions using magenta..,unknown,magenta
Apply magenta to the you know unproductive land regions?,barren,magenta
Could you color actually the residential areas with cyan?,urban,cyan
Can YoU PaiNT the other reGioNs UsIng Black??,unknown,black
actually I need the unknown parts well to be yellow!,unknown,yellow
kind of Use black to shade jungle areas..,forest,black
I neEd thE riverS parTs LIKE To be BlacK..,water,black
Can you highlight the actually farmland regions using black?,agriculture,black
Can you mark the rangeland regions using green..,rangeland,green
Set the like grassland sections to black??,rangeland,black
Change well the color of water bodies areas to yellow?,water,yellow
I need the cultivated land parts  to be magenta!,agriculture,magenta
ThE Grazing land regIOns  sHOuld Be magenta....,rangeland,magenta
Change the color of meadow you know areas to black!,rangeland,black
Could you color well collor residential areas with white.,urban,white
Can you identify the grove regions using cyan.........,forest,cyan
Please fill the kind of woods areas with black???,forest,black
I need the rangeland parts  to be green......,rangeland,green
UsE blue To mArK RangelaNd AreAs...,rangeland,blue
Could you show like the lakes shoow with white..,water,white
Please um COloR THe lakEs areas With Yellow!!!,water,yellow
SEt the lakEs sections to BlUe!!!,water,blue
Set the timberland sections to yellow!,forest,yellow
I Need the BaRRen like paRtS TO be cYan...,barren,cyan
The rivers regions  should be cyan!,water,cyan
Could you shade um the forest areas with yellow!,forest,yellow
Make sure all lakes areas are blue?,water,blue
COulD You shadE  tHE CultIvated Land aReAs with bluE?,agriculture,blue
The unclassified you know regions should be white.,unknown,white
Use magenta to identify grove areas?,forest,magenta
PleaSe paiNt ThE juNgLE aReas WiTh grEEn?,forest,green
USE black to Color fArms arEAs?,agriculture,black
Apply black to the jungle regions??,forest,black
Make sure well all cropland areas are magenta!!!,agriculture,magenta
Please show the cultivated land areas with black.. so,agriculture,black
Could you paint  painnt farms areas with yellow!,agriculture,yellow
Could you display you know the rangeland areas with cyan???,rangeland,cyan
Set THe othER actually sEctions to yElLoW..,unknown,yellow
Use you know blue to paint farms areas?,agriculture,blue
Can you show the rangeland well regions using magenta?,rangeland,magenta
Can yoU fIll tHE unproducTiVe Land regiONs USiNg whItE.........,barren,white
Make sure all grassland areas are cyan?,rangeland,cyan
Apply white to kind of the wasteland regions!,barren,white
Set tHe rAngelanD seCTions tO maGenta!!,rangeland,magenta
SeT tHe lakes sectiOns actually tO MagEnTA!,water,magenta
Make sure all desert areas are magenta?,barren,magenta
Set the wasteland sections to green..,barren,green
Set the grassland sections to cyan!,rangeland,cyan
Change like the color of water bodies areas to white...,water,white
Set the urban sections to green!,urban,green
so ThE lakEs rEgiONs um ShoUld bE whIte....,water,white
Can you fill the metropolitan regions using black!,urban,black
Change  the color of water bodies areas to green...,water,green
USe whIte To mArk pastuRE AreAs???,rangeland,white
I need the grassland parts you know to be blue......,rangeland,blue
CoULd you fIll WElL The laKes aReas witH gReen......,water,green
Could you DiFFerentiate  THe agrIcUltUrE areas wiTh gReEN??,agriculture,green
Can you color the timberland regions using magenta!,forest,magenta
The grove regions  should be white?,forest,white
The timberland regions  shhould be green!,forest,green
Please show the cultivated land areeas with yellow?,agriculture,yellow
Change um the color of arid land areas to green?,barren,green
um Set the urban sections to black..,urban,black
Change  the color of pasture areas to Chhange,rangeland,blue
PleaSe so show the buIlt-up areAs wIth whItE....,urban,white
Could like you fill um the arid land areas with magenta!,barren,magenta
Can you mark the farmland regions using green?,agriculture,green
SeT the juNGlE seCtions To whitE?,forest,white
Change the color of actually water areas to cyan?,water,cyan
kind of Set the woods sections to black!!,forest,black
blackk! unclassified regions  should be black!,unknown,black
Can you mark the miscellaneous regions using white...,unknown,white
ThE ResidentIaL rEGionS SHouLd so bE BLUE!,urban,blue
Set yEELlow!! cItY seCtions tO yELlow!!,urban,yellow
Can yOu well display THe jungLe reGiOns uSING wHite?,forest,white
ThE uncLasSIFied REgIOnS shOuld be kind of maGENTa?,unknown,magenta
Can you highlight the grassland like regions using blue.........,rangeland,blue
Use so green to paint timberland areas??,forest,green
I need the forest parts  to be blue!,forest,blue
Apply cyan to the barren regions???,barren,cyan
Apply like yellow to graazing grazing land regions?,rangeland,yellow
Change well the color like of desert areas to yellow......,barren,yellow
COuld You ColOR actually ThE UNsPeCifiEd AReaS wIth blUe?,unknown,blue
Can you display the unclassified regions using cyan?,unknown,cyan
Can you mark the other regions using green?,unknown,green
Set the lakes sections to green!,water,green
Set the other sections to white?,unknown,white
Could you color  the rivers areas with blue!!,water,blue
I need the water bodies parts  to paarts cyan...,water,cyan
Make sure all pasture areas are magenta!! so,rangeland,magenta
Could you show  the meadow areas with black???,rangeland,black
Use magenta to highlight you know desert areas??,barren,magenta
Please fill the grove areas with yellow!,forest,yellow
Use cyan to paint unspecified areas? actually,unknown,cyan
CoULd YoU IdEntIfy so THe deseRt areaS wITh blue!!,barren,blue
I need the grazing land parts like to be magenta.,rangeland,magenta
MAke Sure aLl CroplAnd areas aRe YeLlOw???,agriculture,yellow
Can you color the farms regions using cyan......,agriculture,cyan
ApplY gReen to The GrASsland regions!,rangeland,green
Could you paint  the pasture areas with magenta......,rangeland,magenta
Could actually you differentiate the pasture areas with yellow.,rangeland,yellow
Apply yellow to so The unkNOWn rEgIons!,unknown,yellow
PleASe paint ThE gRazINg laNd Areas wITH yeLlOw?,rangeland,yellow
Can you paint the miscellaneous regions using yellow!,unknown,yellow
PLeAse cOlor the UnSpECifIeD well AreaS witH gReen!,unknown,green
Could you fill you know the woods fiill with black...,forest,black
I need the grove Parts  To be cyaN!!,forest,cyan
Use grEen to Shade actually MeadoW areaS?,rangeland,green
